"# PDIoT walking data"
"# Start time: 20180921T123824"
"# Group: B"
"# Subject:  Walking for 100 steps"
"# Activity type: Walking (level ground)"
"# Sensor position: Upper Leg"
"# Side of body: Right"
"# Sensor mounting: Body"
"# Number of steps: 100"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1537530035328","3105","-0.8095703","0.0029296875","-0.44921875","1.59375","-2.90625","40.53125"
"1537530035328","3106","-0.8154297","0.10644531","-0.5048828","-17.5","-1.625","33.46875"
"1537530035328","3107","-1.0400391","-0.08105469","-0.54785156","-81.78125","-15.90625","20.90625"
"1537530035329","3108","-1.0810547","-0.22363281","-0.5390625","-73.3125","-36.59375","41.09375"
"1537530035329","3109","-1.1113281","-0.33496094","-0.53125","-38.625","-48.96875","42.125"
"1537530035522","3110","-1.0019531","0.35351562","-0.2998047","42.71875","-29.375","-114.3125"
"1537530035522","3111","-1.3066406","0.30371094","-0.38964844","29.0625","9.0625","-126.5625"
"1537530035523","3112","-1.1630859","0.16699219","-0.390625","3.71875","30.4375","-130.21875"
"1537530035523","3113","-1.0996094","-0.0126953125","-0.3408203","15.9375","33.21875","-120.65625"
"1537530035523","3114","-0.9013672","-0.034179688","-0.31445312","101.5","29.5625","-75.40625"
"1537530035723","3115","-0.86621094","-0.16015625","-0.4091797","181.03125","28.53125","-47.40625"
"1537530035724","3116","-0.7705078","-0.049804688","-0.51660156","165.15625","34.03125","-19.9375"
"1537530035724","3117","-0.6191406","0.13769531","-0.44921875","129.21875","36.28125","-2.0625"
"1537530035724","3118","-0.58691406","0.13769531","-0.21777344","65.0","26.46875","5.4375"
"1537530035724","3119","-0.7441406","-0.10058594","-0.032226562","19.90625","15.65625","10.9375"
"1537530035920","3120","-0.86328125","-0.51660156","-0.13671875","11.46875","-3.03125","-0.21875"
"1537530035920","3121","-0.83203125","-0.5683594","-0.5175781","-1.09375","35.6875","-20.5625"
"1537530036117","3122","-0.7871094","-0.4345703","-0.61035156","-92.9375","65.9375","-31.21875"
"1537530036117","3123","-1.0371094","-0.65527344","-0.33789062","-16.0625","10.84375","12.84375"
"1537530036119","3124","-0.7529297","-0.7265625","-0.7871094","83.8125","13.03125","36.09375"
"1537530036120","3125","-0.8300781","-0.043945312","-0.29589844","100.28125","42.9375","70.5"
"1537530036120","3126","-1.9921875","-0.7294922","-0.57714844","121.40625","51.25","64.15625"
"1537530036120","3127","-0.9404297","0.29296875","-0.087890625","98.09375","-31.34375","-4.8125"
"1537530036121","3128","-0.2763672","1.4169922","-0.74121094","-78.125","71.9375","29.0625"
"1537530036122","3129","-1.125","-0.18847656","-0.87890625","-128.15625","38.0","82.0625"
"1537530036516","3130","-0.90234375","-0.77734375","-0.20410156","-27.53125","-63.5625","71.90625"
"1537530036516","3131","-0.78808594","0.0703125","-0.34960938","78.25","14.625","81.6875"
"1537530036717","3132","-0.71191406","0.13378906","-0.55078125","24.46875","7.65625","72.53125"
"1537530036718","3133","-0.7548828","-0.017578125","-0.49902344","-69.40625","0.28125","57.4375"
"1537530036719","3134","-0.91308594","-0.24804688","-0.39648438","-74.09375","7.65625","38.65625"
"1537530036719","3135","-0.88378906","-0.2421875","-0.40429688","-36.375","-9.96875","34.8125"
"1537530036719","3136","-0.78027344","-0.05078125","-0.47460938","24.0","5.21875","43.40625"
"1537530036719","3137","-0.8496094","0.12402344","-0.5419922","12.21875","1.96875","48.25"
"1537530036719","3138","-0.8544922","0.1875","-0.49902344","-20.25","-3.5625","56.0625"
"1537530036719","3139","-0.94921875","0.12207031","-0.46972656","-47.0","-3.09375","52.5"
"1537530036720","3140","-1.0039062","0.016601562","-0.484375","-64.15625","-18.46875","50.1875"
"1537530036913","3141","-1.0283203","-0.115234375","-0.5654297","-46.4375","-25.59375","54.15625"
"1537530036914","3142","-0.71191406","0.15820312","-0.1875","0.125","-33.0625","-78.46875"
"1537530036914","3143","-1.2255859","0.6621094","-0.36523438","93.625","11.6875","-119.78125"
"1537530036915","3144","-1.4755859","0.4091797","-0.3642578","43.59375","33.125","-145.375"
"1537530036915","3145","-1.3564453","0.12207031","-0.26367188","1.59375","38.375","-157.4375"
"1537530036916","3146","-1.1796875","0.24121094","-0.15332031","-3.96875","43.90625","-141.9375"
"1537530037114","3147","-0.91015625","0.037109375","-0.20703125","31.9375","23.90625","-106.65625"
"1537530037115","3148","-0.9082031","-0.11035156","-0.20898438","88.4375","29.9375","-81.34375"
"1537530037115","3149","-0.7861328","-0.030273438","-0.28222656","109.9375","22.0625","-41.65625"
"1537530037115","3150","-0.52441406","0.115234375","-0.3515625","77.53125","-3.3125","-8.71875"
"1537530037115","3151","-0.3720703","0.1171875","-0.3046875","22.03125","0.53125","1.4375"
"1537530037312","3152","-0.54296875","-0.19140625","-0.2578125","-36.90625","19.9375","-5.34375"
"1537530037313","3153","-0.88671875","-0.53125","-0.29003906","-58.28125","26.59375","-17.625"
"1537530037313","3154","-1.1376953","-0.92285156","-0.5107422","-25.03125","32.375","-8.21875"
"1537530037313","3155","-1.0585938","-1.0322266","-0.49316406","48.96875","-6.6875","0.8125"
"1537530037313","3156","-0.8154297","-0.5390625","-0.5888672","62.3125","1.4375","7.40625"
"1537530037510","3157","-0.4892578","0.12988281","-0.28320312","52.3125","37.9375","36.875"
"1537530037510","3158","-1.9921875","-0.0859375","-0.27246094","66.78125","59.59375","87.0"
"1537530037510","3159","-1.1210938","-0.92578125","-0.07128906","53.96875","-29.375","-0.34375"
"1537530037510","3160","-0.5371094","0.7705078","-0.7001953","-22.34375","-12.375","-9.125"
"1537530037511","3161","-0.40039062","0.7363281","-0.74609375","-88.25","64.59375","56.53125"
"1537530037709","3162","-1.2675781","-0.7451172","-0.6923828","-38.15625","17.375","60.5625"
"1537530037710","3163","-0.8574219","-0.22070312","-0.32617188","23.875","-13.46875","58.96875"
"1537530037710","3164","-0.76660156","0.24902344","-0.46777344","40.96875","18.9375","64.21875"
"1537530037710","3165","-0.81640625","0.09277344","-0.57714844","-30.75","1.375","63.3125"
"1537530037710","3166","-0.8388672","-0.18261719","-0.4814453","-78.5","5.71875","49.59375"
"1537530037909","3167","-0.8466797","-0.12011719","-0.46875","-81.0","10.53125","35.125"
"1537530037909","3168","-0.84765625","-0.047851562","-0.43652344","-32.71875","3.6875","40.96875"
"1537530037909","3169","-0.8183594","-0.13671875","-0.41503906","-15.625","-0.59375","45.6875"
"1537530037909","3170","-0.8574219","-0.053710938","-0.4873047","-10.84375","1.25","42.25"
"1537530037910","3171","-0.8330078","0.1328125","-0.4892578","-24.53125","7.0625","43.90625"
"1537530038106","3172","-0.84765625","0.15136719","-0.5605469","-48.28125","8.34375","32.125"
"1537530038106","3173","-0.9746094","-0.016601562","-0.578125","-57.5","-0.03125","33.46875"
"1537530038106","3174","-0.93847656","-0.044921875","-0.53222656","-46.5625","-7.96875","37.4375"
"1537530038107","3175","-0.9814453","-0.09863281","-0.6328125","-60.46875","-17.78125","36.75"
"1537530038107","3176","-1.0859375","-0.16503906","-0.5917969","-61.9375","-24.5","33.09375"
"1537530038306","3177","-0.9501953","-0.23339844","-0.39648438","-58.21875","-25.59375","-28.4375"
"1537530038306","3178","-0.7470703","0.053710938","-0.34960938","-36.5","-49.59375","-90.4375"
"1537530038307","3179","-1.0673828","0.25195312","-0.2421875","18.5625","-13.21875","-140.46875"
"1537530038307","3180","-1.4316406","0.3203125","-0.39453125","-1.8125","6.25","-146.65625"
"1537530038307","3181","-1.2470703","0.30664062","-0.34960938","-26.78125","23.59375","-154.875"
"1537530038503","3182","-1.1142578","0.21386719","-0.2578125","-34.59375","19.375","-147.625"
"1537530038504","3183","-0.9091797","0.009765625","-0.22753906","19.59375","11.0625","-105.03125"
"1537530038504","3184","-0.9345703","-0.15917969","-0.25","78.9375","19.75","-78.46875"
"1537530038504","3185","-0.8232422","-0.045898438","-0.3466797","88.1875","17.96875","-47.71875"
"1537530038505","3186","-0.6171875","0.115234375","-0.3798828","58.65625","-0.65625","-17.25"
"1537530038704","3187","-0.47070312","0.06738281","-0.2626953","2.625","-3.3125","-4.3125"
"1537530038704","3188","-0.55371094","-0.19824219","-0.20898438","-50.90625","11.9375","-2.0625"
"1537530038704","3189","-0.7763672","-0.6591797","-0.34765625","-63.34375","21.6875","-6.375"
"1537530038704","3190","-0.8808594","-0.8720703","-0.57128906","-36.6875","40.375","-23.53125"
"1537530038705","3191","-1.09375","-0.7167969","-0.4267578","14.96875","17.84375","-19.28125"
"1537530038903","3192","-0.9423828","-0.72558594","-0.41210938","43.9375","-6.3125","-2.25"
"1537530038903","3193","-0.5253906","-0.15136719","-0.44433594","27.09375","18.03125","19.6875"
"1537530038903","3194","-1.6396484","-0.10839844","-0.50390625","53.78125","77.375","65.5625"
"1537530038904","3195","-1.2861328","-0.68847656","-0.07519531","75.8125","-74.375","-1.1875"
"1537530038904","3196","-0.4111328","0.7529297","-0.52246094","-45.03125","-11.03125","-13.71875"
"1537530039100","3197","-0.5644531","0.73828125","-0.7998047","-105.46875","93.84375","55.9375"
"1537530039100","3198","-1.3535156","-0.8417969","-0.8339844","-35.40625","4.25","68.5625"
"1537530039100","3199","-0.7597656","-0.15722656","-0.2734375","25.40625","-6.875","59.65625"
"1537530039100","3200","-0.7470703","0.2705078","-0.55371094","57.125","24.6875","70.8125"
"1537530039101","3201","-0.8222656","0.15332031","-0.6220703","-47.46875","5.78125","52.15625"
"1537530039301","3202","-0.8027344","-0.09863281","-0.51660156","-118.59375","4.0625","28.34375"
"1537530039301","3203","-0.8574219","-0.17285156","-0.50683594","-115.09375","3.4375","21.75"
"1537530039301","3204","-0.8232422","-0.15136719","-0.48339844","-55.40625","-3.3125","29.4375"
"1537530039302","3205","-0.77441406","-0.20703125","-0.4736328","-22.8125","-1.96875","27.0625"
"1537530039302","3206","-0.8173828","-0.08105469","-0.45410156","-21.90625","1.75","13.75"
"1537530039497","3207","-0.8857422","0.064453125","-0.5","-33.5625","0.6875","13.6875"
"1537530039497","3208","-0.8515625","0.14550781","-0.52734375","-57.4375","-5.40625","21.625"
"1537530039498","3209","-0.9248047","0.056640625","-0.63183594","-61.15625","4.59375","26.8125"
"1537530039498","3210","-0.98828125","-0.09375","-0.57128906","-59.75","-10.84375","31.5625"
"1537530039498","3211","-0.9628906","-0.109375","-0.5703125","-50.59375","-10.15625","24.96875"
"1537530039698","3212","-1.0","-0.24902344","-0.609375","-53.46875","-23.15625","21.0"
"1537530039698","3213","-1.0390625","-0.25390625","-0.4345703","-52.0625","-28.46875","-8.09375"
"1537530039698","3214","-0.8730469","-0.052734375","-0.2607422","-68.125","-21.6875","-78.65625"
"1537530039699","3215","-0.8876953","0.21972656","-0.40625","-67.6875","-26.03125","-141.40625"
"1537530039699","3216","-1.3740234","0.31347656","-0.32421875","-38.625","-0.75","-156.28125"
"1537530039894","3217","-1.2773438","0.24707031","-0.20800781","-35.625","27.5625","-153.0"
"1537530039895","3218","-1.1923828","0.11035156","-0.26757812","-54.5625","18.09375","-154.03125"
"1537530039895","3219","-0.9746094","-0.005859375","-0.12597656","-25.03125","15.71875","-116.8125"
"1537530039896","3220","-0.95214844","-0.14355469","-0.13671875","94.375","5.9375","-84.46875"
"1537530040093","3221","-0.9160156","-0.09667969","-0.33398438","109.5","-14.1875","-55.46875"
"1537530040093","3222","-0.6484375","0.09667969","-0.45410156","63.65625","-17.0625","-37.875"
"1537530040094","3223","-0.48339844","0.09667969","-0.3251953","-15.625","-9.125","-30.0625"
"1537530040094","3224","-0.4765625","-0.11230469","-0.24414062","-72.25","9.84375","-20.84375"
"1537530040095","3225","-0.6748047","-0.5810547","-0.30664062","-77.09375","13.21875","-12.0625"
"1537530040292","3226","-0.84472656","-0.9140625","-0.3232422","-51.21875","18.46875","-8.21875"
"1537530040293","3227","-0.9902344","-0.8066406","-0.38671875","5.625","11.3125","-7.65625"
"1537530040294","3228","-1.1201172","-0.8808594","-0.3203125","60.5625","-12.84375","9.65625"
"1537530040295","3229","-0.7871094","-0.51953125","-0.4951172","43.46875","-10.34375","8.9375"
"1537530040295","3230","-0.9765625","0.10253906","-0.34375","34.78125","22.0625","25.53125"
"1537530040491","3231","-1.890625","-0.5722656","-0.21679688","-19.46875","-10.59375","7.59375"
"1537530040491","3232","-0.66796875","-0.0126953125","-0.33007812","-0.90625","-20.96875","-11.53125"
"1537530040491","3233","-0.5107422","0.71972656","-0.75683594","-86.0625","68.625","12.84375"
"1537530040491","3234","-1.0673828","-0.20410156","-0.57421875","-59.25","14.0","61.96875"
"1537530040492","3235","-0.96777344","-0.4404297","-0.38867188","14.09375","-17.0","54.65625"
"1537530040690","3236","-0.81152344","0.21875","-0.4951172","52.125","15.78125","62.03125"
"1537530040691","3237","-0.74316406","0.19238281","-0.6015625","-17.8125","15.53125","52.15625"
"1537530040691","3238","-0.85253906","-0.08886719","-0.5234375","-85.125","7.40625","33.96875"
"1537530040692","3239","-0.875","-0.16601562","-0.4375","-91.1875","7.21875","18.09375"
"1537530040692","3240","-0.8261719","-0.078125","-0.52734375","-61.09375","9.0625","12.90625"
"1537530040887","3241","-0.828125","-0.12597656","-0.5029297","-43.5625","-1.8125","14.0625"
"1537530040889","3242","-0.8535156","-0.08300781","-0.47851562","-47.34375","1.96875","4.65625"
"1537530040889","3243","-0.8330078","0.026367188","-0.51660156","-43.5","5.28125","3.9375"
"1537530040890","3244","-0.8652344","0.0126953125","-0.53027344","-63.96875","0.75","3.3125"
"1537530040890","3245","-0.8486328","-0.0126953125","-0.49609375","-76.59375","-1.5","0.8125"
"1537530041086","3246","-0.88964844","0.0234375","-0.53125","-72.6875","-6.375","3.75"
"1537530041087","3247","-0.8769531","0.060546875","-0.5957031","-69.9375","-11.03125","15.15625"
"1537530041087","3248","-0.9160156","0.013671875","-0.6201172","-75.625","-16.375","20.34375"
"1537530041089","3249","-0.90722656","-0.044921875","-0.5703125","-81.59375","-29.3125","25.09375"
"1537530041089","3250","-0.92871094","-0.055664062","-0.5673828","-81.59375","-33.0","28.09375"
"1537530041285","3251","-0.9794922","-0.07714844","-0.4873047","-85.125","-32.6875","19.0"
"1537530041286","3252","-0.9111328","-0.016601562","-0.38183594","-80.0625","-15.15625","-25.375"
"1537530041287","3253","-0.9482422","0.001953125","-0.31640625","-67.75","-1.5625","-83.71875"
"1537530041484","3254","-0.9736328","0.22265625","-0.17285156","-57.90625","-12.84375","-127.65625"
"1537530041485","3255","-1.2548828","0.22949219","-0.22753906","-39.0","26.34375","-145.6875"
"1537530041485","3256","-1.2763672","0.32421875","-0.13867188","-34.0625","33.46875","-143.0625"
"1537530041486","3257","-1.1894531","0.29492188","-0.1015625","-54.625","29.3125","-140.25"
"1537530041486","3258","-1.0068359","0.049804688","-0.13769531","-39.90625","21.21875","-117.59375"
"1537530041486","3259","-0.96875","-0.123046875","-0.2265625","11.34375","12.3125","-87.375"
"1537530041487","3260","-0.89746094","-0.024414062","-0.30859375","8.0625","-14.8125","-66.875"
